"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"216","female","Asiática","some college","completed","married","regularly",0,1,0,"> 10",93,97,98,96
"219","female","Negra","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",67,86,83,79
"220","male","Caucásica","some high school","none","divorced","sometimes",0,1,0,"> 10",94,88,79,87
"221","male","Asiática","bachelor's degree","completed","married","sometimes",1,1,0,"> 10",85,83,85,84
"222","male","Hispana","associate's degree","none","married","regularly",1,1,0,"> 10",84,77,80,80
"223","male","Hispana","bachelor's degree","none","divorced","regularly",1,1,0,"< 5",62,65,67,65
"225","male","Negra","some college","none","married","regularly",0,1,1,"> 10",57,53,53,54
"228","female","Caucásica","bachelor's degree","none","single","regularly",1,1,1,"5 - 10",82,84,85,84
"230","male","Hispana","some high school","none","divorced","regularly",0,1,0,"< 5",74,73,69,72
"231","male","Asiática","associate's degree","none","married","sometimes",1,1,1,"< 5",82,74,69,75
"233","female","Negra","high school","completed","single","sometimes",0,1,1,"5 - 10",58,70,68,65
"234","female","Negra","high school","none","married","sometimes",0,1,1,"< 5",63,63,60,62
"236","male","Americana","some high school","completed","single","sometimes",0,1,0,"5 - 10",47,49,49,48
"238","female","Negra","some high school","completed","single","sometimes",0,1,1,"5 - 10",60,70,70,67
"240","male","Hispana","high school","none","married","sometimes",0,0,1,"5 - 10",54,52,52,53
"241","female","Caucásica","some college","none","single","sometimes",1,1,0,"5 - 10",62,73,70,68
"242","female","Asiática","associate's degree","none","single","sometimes",1,1,1,"< 5",62,71,66,66
"244","female","Asiática","some high school","completed","married","sometimes",0,1,1,"> 10",65,80,78,74
"245","male","Asiática","some college","completed","married","sometimes",1,1,0,"5 - 10",79,79,78,79
"246","female","Asiática","some high school","none","married","regularly",1,1,1,"5 - 10",45,50,52,49
"247","female","Caucásica","high school","none","single","sometimes",0,1,1,"5 - 10",99,93,90,94
"248","male","Hispana","high school","none","married","sometimes",1,1,1,"5 - 10",76,73,68,72
"249","male","Hispana","some high school","none","divorced","sometimes",1,1,0,"< 5",57,41,40,46
"251","female","Hispana","high school","none","married","regularly",1,1,0,"5 - 10",71,73,78,74
"252","female","Hispana","associate's degree","completed","married","regularly",0,1,0,"> 10",93,94,99,95
"254","male","Asiática","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",69,63,61,64
"256","female","Hispana","associate's degree","none","single","regularly",0,1,1,"5 - 10",48,53,59,53
"257","female","Hispana","some college","none","married","sometimes",1,1,1,"5 - 10",65,70,71,69
"259","male","Asiática","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",83,78,73,78
"260","female","Asiática","some high school","completed","married","sometimes",0,1,1,"< 5",82,90,91,88
"262","female","Asiática","some high school","none","married","sometimes",0,1,0,"5 - 10",65,86,80,77
"263","male","Negra","bachelor's degree","none","widowed","sometimes",1,1,0,"5 - 10",73,56,57,62
"265","female","Hispana","bachelor's degree","none","divorced","regularly",1,1,0,"5 - 10",75,80,86,80
"268","male","Negra","associate's degree","completed","married","never",0,1,0,"5 - 10",78,80,79,79
"269","male","Caucásica","associate's degree","completed","married","regularly",0,0,1,"5 - 10",99,83,90,91
"270","female","Negra","some high school","none","married","sometimes",1,1,0,"< 5",64,87,80,77
"273","male","Asiática","associate's degree","none","married","sometimes",1,1,0,"5 - 10",76,70,68,71
"274","male","Hispana","some high school","none","married","sometimes",0,1,1,"< 5",83,71,68,74
"275","male","Asiática","some high school","completed","married","never",0,1,1,"5 - 10",61,59,55,58
"277","male","Hispana","high school","completed","single","regularly",0,1,0,"5 - 10",80,78,82,80
"278","male","Negra","associate's degree","none","married","never",0,1,0,"> 10",66,61,59,62
"283","male","Americana","some college","completed","married","never",0,1,1,"< 5",76,75,77,76
"285","female","Asiática","associate's degree","completed","single","never",0,1,0,"> 10",66,83,80,76
"286","male","Negra","associate's degree","none","married","regularly",0,1,0,"5 - 10",82,77,65,75
"287","female","Asiática","associate's degree","completed","married","regularly",0,1,0,"5 - 10",76,76,85,79
"289","male","Caucásica","some college","completed","divorced","regularly",0,1,1,"5 - 10",100,88,83,90
"291","female","Negra","associate's degree","none","married","regularly",1,1,1,"> 10",56,73,70,66
"293","female","Negra","associate's degree","none","married","sometimes",1,1,0,"5 - 10",73,76,80,76
"294","male","Negra","bachelor's degree","none","married","never",0,1,0,"< 5",62,58,54,58
"296","female","Asiática","associate's degree","completed","single","sometimes",0,1,1,"> 10",70,68,70,69
"297","male","Asiática","high school","none","married","regularly",1,1,1,"5 - 10",73,66,66,68
"298","female","Hispana","master's degree","completed","widowed","never",0,1,1,"5 - 10",74,80,88,81
"299","male","Asiática","associate's degree","none","single","sometimes",1,1,0,"5 - 10",83,72,78,78
"301","female","Hispana","associate's degree","none","single","regularly",1,1,0,"< 5",55,64,63,61
"303","female","Caucásica","high school","none","married","never",1,1,1,"> 10",74,85,78,79
"304","female","Asiática","some college","none","married","regularly",0,1,1,"< 5",70,80,80,77
"305","female","Asiática","some high school","none","married","sometimes",0,1,1,"5 - 10",40,52,51,48
"307","female","Asiática","some college","none","single","sometimes",0,1,0,"5 - 10",82,90,94,89
"308","male","Asiática","some college","none","married","sometimes",0,1,0,"5 - 10",61,61,62,61
"309","male","Americana","some college","none","married","regularly",0,1,0,"> 10",29,23,19,24
"310","male","Asiática","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",82,75,77,78
"311","female","Negra","some high school","none","married","sometimes",0,1,0,"< 5",39,54,49,47
"314","male","Caucásica","associate's degree","completed","married","never",1,1,0,"> 10",61,55,52,56
"315","male","Negra","associate's degree","none","single","sometimes",0,1,0,"5 - 10",90,78,81,83
"320","female","Negra","some high school","none","single","sometimes",1,1,0,"< 5",23,37,26,29
"321","female","Hispana","some high school","completed","married","sometimes",0,1,0,"5 - 10",35,55,60,50
"322","male","Asiática","high school","none","married","regularly",0,1,0,"> 10",61,62,54,59
"325","male","Hispana","associate's degree","completed","single","sometimes",0,1,1,"< 5",64,70,65,66
"327","female","Asiática","high school","none","married","sometimes",0,1,1,"5 - 10",72,80,75,76
"330","male","Caucásica","associate's degree","none","divorced","regularly",0,1,1,"> 10",92,76,79,82
"331","female","Negra","bachelor's degree","none","married","sometimes",0,0,1,"5 - 10",52,65,69,62
"333","female","Asiática","some college","completed","married","sometimes",1,1,0,"< 5",61,76,78,72
"334","female","Asiática","associate's degree","none","married","regularly",1,1,1,"< 5",45,57,57,53
"336","female","Negra","bachelor's degree","none","single","regularly",1,1,0,"> 10",64,74,73,70
"338","female","Asiática","some college","completed","married","sometimes",0,1,1,"< 5",40,65,67,57
"339","female","Hispana","some college","none","divorced","sometimes",1,1,1,"< 5",77,88,87,84
"340","female","Negra","high school","none","married","never",0,1,0,"5 - 10",56,61,57,58
"341","male","Negra","some high school","completed","single","regularly",0,1,1,"5 - 10",87,85,79,84
"342","female","Asiática","some college","none","single","regularly",1,1,1,"5 - 10",53,58,59,57
"343","female","Hispana","some high school","none","single","sometimes",1,1,0,"< 5",26,33,31,30
"344","male","Asiática","some college","none","divorced","regularly",0,1,0,"5 - 10",60,60,59,60
"345","male","Americana","bachelor's degree","completed","married","regularly",1,1,1,"> 10",51,59,62,57
"348","female","Americana","some high school","none","single","sometimes",0,1,1,"5 - 10",44,64,58,55
"349","female","Hispana","some high school","none","single","regularly",0,1,0,"5 - 10",71,83,84,79
"350","male","Caucásica","some college","none","married","regularly",0,1,1,"5 - 10",86,78,72,79
"351","female","Asiática","some college","completed","single","sometimes",1,1,0,"5 - 10",45,73,70,63
"352","male","Hispana","some high school","none","single","sometimes",0,0,1,"> 10",76,75,73,75
"353","female","Hispana","some college","completed","married","sometimes",0,1,1,"> 10",84,98,97,93
"355","female","Hispana","some high school","none","single","sometimes",1,1,0,"> 10",82,91,83,85
"357","female","Americana","some high school","none","single","sometimes",1,1,1,"> 10",73,84,78,78
"358","male","Americana","bachelor's degree","none","married","regularly",0,1,1,"5 - 10",67,64,63,65
"359","female","Negra","associate's degree","none","single","sometimes",0,1,0,"5 - 10",80,86,83,83
"360","male","Asiática","associate's degree","completed","divorced","sometimes",0,0,1,"< 5",84,98,93,92
"362","female","Caucásica","some high school","none","divorced","regularly",0,1,1,"> 10",40,50,47,46
"363","female","Americana","some high school","none","divorced","never",1,1,1,"5 - 10",35,41,40,39
"364","female","Caucásica","some college","none","divorced","regularly",0,1,1,"5 - 10",69,77,76,74
"365","female","Caucásica","bachelor's degree","none","single","sometimes",0,0,0,"< 5",62,71,68,67
"367","female","Hispana","high school","none","single","sometimes",0,1,1,"5 - 10",62,64,64,63
"368","male","Hispana","master's degree","none","married","sometimes",1,1,0,"< 5",71,70,75,72
"369","male","Caucásica","some high school","completed","single","regularly",0,0,1,"5 - 10",75,68,60,68
"370","female","Hispana","some college","none","single","sometimes",1,1,1,"< 5",74,66,75,72
"371","male","Caucásica","some college","none","married","sometimes",0,1,0,"> 10",78,68,68,71
"372","male","Asiática","associate's degree","completed","divorced","regularly",0,1,1,"> 10",60,55,58,58
"374","female","Negra","high school","none","married","never",1,1,0,"5 - 10",48,65,61,58
"375","male","Negra","some high school","none","single","regularly",0,0,0,"< 5",73,62,57,64
"376","male","Hispana","some high school","none","single","never",1,1,1,"< 5",56,57,51,55
"377","female","Asiática","some high school","completed","married","regularly",0,1,1,"5 - 10",60,54,68,61
"379","female","Americana","some college","none","married","regularly",1,1,0,"> 10",51,66,57,58
"380","female","Hispana","high school","completed","single","sometimes",0,1,1,"5 - 10",88,99,100,96
"381","female","Asiática","high school","none","single","regularly",0,0,0,"5 - 10",55,59,63,59
"383","male","Negra","associate's degree","completed","married","regularly",1,1,0,"> 10",68,66,65,66
"385","female","Hispana","high school","completed","divorced","sometimes",1,1,0,"5 - 10",52,57,56,55
"386","male","Hispana","associate's degree","completed","widowed","never",1,1,0,"> 10",86,83,84,84
"391","male","Caucásica","high school","none","single","regularly",1,1,1,"5 - 10",86,74,70,77
"392","male","Asiática","bachelor's degree","completed","married","sometimes",0,1,1,"< 5",68,72,66,69
"394","male","Hispana","some college","none","married","regularly",1,1,1,"5 - 10",70,59,63,64
"395","male","Caucásica","high school","completed","married","sometimes",1,1,1,"5 - 10",57,56,54,56
"397","female","Hispana","master's degree","completed","divorced","never",0,0,1,"> 10",47,59,68,58
"401","male","Asiática","bachelor's degree","none","married","regularly",0,1,0,"5 - 10",88,84,88,87
"402","male","Asiática","some high school","none","single","regularly",0,0,1,"5 - 10",71,72,66,70
"404","male","Asiática","some high school","none","married","sometimes",1,1,0,"> 10",70,63,55,63
"407","male","Asiática","high school","none","single","never",0,1,0,"< 5",57,54,52,54
"411","male","Hispana","associate's degree","none","married","regularly",0,1,0,"5 - 10",77,69,65,70
"417","female","Americana","some high school","none","married","sometimes",0,1,0,"5 - 10",59,73,69,67
"419","male","Americana","some high school","none","married","sometimes",0,0,0,"5 - 10",79,82,73,78
"422","male","Asiática","high school","completed","single","regularly",0,1,0,"> 10",91,83,83,86
"423","male","Negra","high school","none","widowed","regularly",0,1,0,"5 - 10",48,46,43,46
"425","female","Asiática","some college","completed","divorced","sometimes",0,1,1,"5 - 10",64,85,85,78
"427","female","Asiática","associate's degree","none","married","regularly",1,1,0,"> 10",68,79,77,75
"428","male","Asiática","some college","none","married","never",0,1,1,"> 10",64,57,48,56
"430","male","Asiática","bachelor's degree","none","married","sometimes",0,0,0,"5 - 10",37,56,47,47
"431","female","Hispana","bachelor's degree","none","divorced","sometimes",1,1,0,"5 - 10",79,89,89,86
"435","male","Asiática","bachelor's degree","none","married","regularly",1,1,1,"< 5",52,57,55,55
"436","male","Negra","some college","none","married","sometimes",0,1,0,"5 - 10",54,54,45,51
"437","female","Caucásica","some college","none","divorced","never",1,1,1,"5 - 10",68,68,74,70
"438","female","Asiática","some college","none","widowed","sometimes",0,1,0,"5 - 10",77,90,91,86
"441","female","Hispana","associate's degree","none","divorced","sometimes",1,1,0,"> 10",26,31,38,32
"442","male","Americana","high school","completed","married","regularly",1,1,0,"> 10",76,69,67,71
"443","female","Americana","high school","completed","single","regularly",0,1,1,"5 - 10",79,89,87,85
"445","female","Asiática","associate's degree","completed","divorced","sometimes",1,1,1,"5 - 10",83,85,90,86
"447","female","Asiática","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",68,86,84,79
"448","female","Hispana","some high school","none","married","sometimes",1,1,1,"> 10",57,66,60,61
"451","male","Caucásica","bachelor's degree","completed","single","sometimes",0,1,0,"5 - 10",76,62,66,68
"453","female","Hispana","master's degree","none","single","never",0,1,1,"5 - 10",53,64,70,62
"454","male","Caucásica","associate's degree","none","single","sometimes",0,1,0,"> 10",78,72,68,73
"455","male","Negra","high school","completed","married","sometimes",0,1,1,"5 - 10",73,71,68,71
"458","male","Americana","high school","none","divorced","sometimes",0,1,1,"5 - 10",59,52,46,52
"459","female","Negra","associate's degree","none","single","regularly",1,1,0,"< 5",48,51,54,51
"461","male","Hispana","some college","none","married","sometimes",0,1,1,"5 - 10",61,47,56,55
"463","male","Negra","some high school","completed","divorced","regularly",0,1,0,"5 - 10",65,53,58,59
"465","female","Americana","associate's degree","none","married","regularly",1,1,0,"< 5",64,84,76,75
"467","female","Asiática","some college","none","married","sometimes",1,1,0,"5 - 10",83,83,90,85
"468","female","Asiática","bachelor's degree","none","married","sometimes",0,1,0,"< 5",78,86,88,84
"469","female","Negra","high school","none","divorced","regularly",0,1,0,"< 5",53,63,68,61
"470","male","Hispana","high school","completed","divorced","sometimes",0,1,1,"5 - 10",68,64,66,66
"471","female","Asiática","some college","none","married","regularly",1,1,0,"< 5",53,47,52,51
"473","male","Caucásica","some college","none","married","sometimes",0,1,0,"< 5",73,69,70,71
"474","female","Hispana","master's degree","none","married","sometimes",0,1,0,"5 - 10",74,80,84,79
"475","female","Negra","associate's degree","completed","married","sometimes",0,0,1,"< 5",91,85,90,89
"477","female","Caucásica","associate's degree","completed","married","regularly",0,1,0,"> 10",100,91,96,96
"478","female","Hispana","master's degree","none","single","regularly",0,1,1,"5 - 10",41,61,57,53
"479","female","Negra","some high school","none","married","sometimes",0,1,0,"< 5",79,80,78,79
"480","male","Americana","high school","none","married","regularly",0,1,0,"5 - 10",70,71,67,69
"482","female","Asiática","bachelor's degree","none","married","regularly",1,1,1,"5 - 10",88,93,89,90
"485","male","Hispana","some high school","none","married","regularly",1,1,0,"< 5",61,48,52,54
"486","female","Negra","some high school","completed","divorced","regularly",0,1,1,"5 - 10",55,61,63,60
"487","female","Negra","master's degree","completed","single","sometimes",0,1,0,"5 - 10",77,97,94,89
"488","female","Asiática","some high school","completed","married","sometimes",1,1,1,"5 - 10",76,87,85,83
"490","female","Caucásica","some college","completed","divorced","never",0,1,0,"5 - 10",64,72,71,69
"491","female","Hispana","some high school","completed","single","regularly",1,1,0,"5 - 10",67,79,79,75
"492","female","Negra","high school","completed","married","sometimes",1,1,0,"5 - 10",67,78,79,75
"494","female","Asiática","associate's degree","none","single","sometimes",0,1,1,"5 - 10",91,86,84,87
"499","male","Asiática","some high school","completed","single","sometimes",0,1,0,"< 5",54,60,58,57
"501","female","Hispana","bachelor's degree","none","single","sometimes",1,1,1,"< 5",28,40,46,38
"502","female","Asiática","associate's degree","none","married","never",1,1,1,"5 - 10",60,72,68,67
"504","female","Asiática","some high school","none","married","never",0,1,1,"5 - 10",45,53,51,50
"505","male","Caucásica","associate's degree","completed","single","sometimes",0,1,0,"< 5",60,60,56,59
"506","female","Caucásica","associate's degree","completed","married","sometimes",1,1,0,"5 - 10",79,88,94,87
